1048, 0, -0.015625, 1457019705.345352337
1049, 0, -0.015625, 1457019705.395284599
1049, 0, -0.015625, 1457019705.445309268
1049, 0, -0.0234375, 1457019705.495322141
1049, 0, -0.0234375, 1457019705.545310167
1050, 0, -0.015625, 1457019705.595283940
1051, 0, -0.015625, 1457019705.645346092
1051, 0, -0.015625, 1457019705.695367575
1051, 0, -0.0234375, 1457019705.745310246
1052, 0, -0.015625, 1457019705.795386119
1052, 0, -0.015625, 1457019705.845317755
1053, 0, -0.015625, 1457019705.895303543
1053, 0, -0.015625, 1457019705.945311444
1053, 0, -0.0234375, 1457019705.995360722
1054, 0, -0.015625, 1457019706.045311941
1054, 0, -0.015625, 1457019706.095346023
1055, 0, -0.015625, 1457019706.145303139
1055, 0, -0.015625, 1457019706.195307639
1055, 0, -0.015625, 1457019706.245244736
1056, 0, -0.015625, 1457019706.295253590
1056, 0, -0.015625, 1457019706.345316125
1056, 0, -0.0234375, 1457019706.395306743
1057, 0, -0.015625, 1457019706.445290141
1057, 0, -0.015625, 1457019706.495321689
1058, 0, -0.015625, 1457019706.545294495
1058, 0, -0.015625, 1457019706.595307708
1058, 0, -0.0234375, 1457019706.645292593
1059, 0, -0.015625, 1457019706.695403445
1059, 0, -0.015625, 1457019706.745312709
1060, 0, -0.015625, 1457019706.795284480
1060, 0, -0.015625, 1457019706.845313816
1060, 0, -0.0234375, 1457019706.895373008
1061, 0, -0.015625, 1457019706.945304703
1061, 0, -0.015625, 1457019706.995307193
1061, 0, -0.0234375, 1457019707.045310834
1062, 0, -0.015625, 1457019707.095285925
1062, 0, -0.0234375, 1457019707.145290500
1063, 0, -0.015625, 1457019707.195293289
1063, 0, -0.015625, 1457019707.245280485
1063, 0, -0.0234375, 1457019707.295305789
1064, 0, -0.015625, 1457019707.345291810
1064, 0, -0.015625, 1457019707.395305167
1064, 0, -0.0234375, 1457019707.445328067
1065, 0, -0.015625, 1457019707.495371078
1065, 0, -0.0234375, 1457019707.545345390
1066, 0, -0.015625, 1457019707.595368235
1066, 0, -0.015625, 1457019707.645316984
1067, 0, -0.015625, 1457019707.695320515
1067, 0, -0.015625, 1457019707.745295608
1067, 0, -0.0234375, 1457019707.795309364
1068, 0, -0.015625, 1457019707.845311476
1068, 0, -0.015625, 1457019707.895371693
1069, 0, -0.015625, 1457019707.945283806
1069, 0, -0.015625, 1457019707.995287732
1069, 0, -0.0234375, 1457019708.045303767
1070, 0, -0.015625, 1457019708.095298268
1070, 0, -0.015625, 1457019708.145308539
1070, 0, -0.0234375, 1457019708.195309994
1071, 0, -0.015625, 1457019708.245320272
1071, 0, -0.015625, 1457019708.295292832
1072, 0, -0.015625, 1457019708.345285455
1072, 0, -0.015625, 1457019708.395279362
1072, 0, -0.0234375, 1457019708.445293990
1073, 0, -0.015625, 1457019708.495284756
1073, 0, -0.015625, 1457019708.545308622
1074, 0, -0.015625, 1457019708.595292091
1074, 0, -0.015625, 1457019708.645298167
1074, 0, -0.0234375, 1457019708.695286151
1075, 0, -0.015625, 1457019708.745317268
1075, 0, -0.015625, 1457019708.795293808
1075, 0, -0.0234375, 1457019708.845318834
1076, 0, -0.015625, 1457019708.895275331
1076, 0, -0.0234375, 1457019708.945295332
1077, 0, -0.015625, 1457019708.995288300
1076, 0, -0.0234375, 1457019709.045283735
1078, 0, -0.015625, 1457019709.095286607
1078, 0, -0.015625, 1457019709.145284681
1078, 0, -0.0234375, 1457019709.195299381
1079, 0, -0.015625, 1457019709.245298680
1079, 0, -0.015625, 1457019709.295306876
1079, 0, -0.0234375, 1457019709.345249784
1080, 0, -0.015625, 1457019709.395245113
1080, 0, -0.015625, 1457019709.445241061
1081, 0, -0.015625, 1457019709.495282707
1081, 0, -0.015625, 1457019709.545352263
1081, 0, -0.0234375, 1457019709.595302585
1082, 0, -0.015625, 1457019709.645303349
1082, 0, -0.015625, 1457019709.695297144
1083, 0, -0.015625, 1457019709.745301609
1083, 0, -0.015625, 1457019709.795295515
1083, 0, -0.0234375, 1457019709.845324771
1084, 0, -0.015625, 1457019709.895310035
1084, 0, -0.015625, 1457019709.945312351
1085, 0, -0.015625, 1457019709.995296807
1085, 0, -0.015625, 1457019710.045323910
1085, 0, -0.0234375, 1457019710.095284432
1086, 0, -0.015625, 1457019710.145276056
1086, 0, -0.015625, 1457019710.195293736
1086, 0, -0.0234375, 1457019710.245294711
1088, 0, -0.0234375, 1457019710.295309159
1090, 8, -0.0175781, 1457019710.345287858
1094, 12, -0.0185547, 1457019710.395294872
1099, 16, -0.0195312, 1457019710.445284515
1106, 20, -0.0205078, 1457019710.495291440
1114, 24, -0.0214844, 1457019710.545306491
1123, 24, -0.0292969, 1457019710.595311046
1134, 32, -0.015625, 1457019710.645390488
1147, 32, -0.03125, 1457019710.695302867
1161, 36, -0.0322266, 1457019710.745301056
1177, 40, -0.0253906, 1457019710.795300135
1193, 44, -0.0341797, 1457019710.845307545
1211, 44, -0.0419922, 1457019710.895300789
1231, 48, -0.0351562, 1457019710.945307863
1253, 60, -0.0146484, 1457019710.995311449
1275, 56, -0.0371094, 1457019711.045316211
1299, 60, -0.0380859, 1457019711.095301467
1325, 68, -0.0244141, 1457019711.145308453
1351, 68, -0.0400391, 1457019711.195312877
1379, 72, -0.0410156, 1457019711.245299861
1409, 76, -0.0419922, 1457019711.295340926
1440, 80, -0.0351562, 1457019711.345315610
1471, 84, -0.0507812, 1457019711.395249323
1505, 84, -0.0439453, 1457019711.445251493
1540, 88, -0.0449219, 1457019711.495246385
1576, 92, -0.0458984, 1457019711.545291868
